refined_decision,count,bytes,MB
DROP_WORKSPACE_RUNS,22589,3093691,3.094
DROP_BUILD_ARTIFACTS,15079,30300072,30.3
DROP_TMP_CACHE,3307,33593449,33.593
FROZEN_SHADOW_ARCHIVE,3026,64129348,64.129
LOCAL_ONLY_LOGS,2679,147394888,147.395
EXTERNAL_PROJECTS_NOT_CORE,1697,12531409,12.531
FROZEN_AUTONOMY_DRIFT,445,6761172,6.761
EVIDENCE_CORE_REFERENCE,145,5217796,5.218
EXAMPLE_CODE_GRAPH,90,1358430,1.358
OPERATOR_SCRIPT_LATER,80,94326,0.094
REPO_CORE_SOURCE,70,221063,0.221
MEMORY_REVIEW,63,33138,0.033
OPERATOR_CLIENT_LATER,56,1199956,1.2
MANUAL_REVIEW,43,1151723,1.152
SPEC_CONFIG_REVIEW,33,65509,0.066
EVIDENCE_LOCAL_ONLY,30,1192922,1.193
MIGRATION_BPACK_EXAMPLES,28,6880507,6.881
REPO_CORE_SCRIPTS_REVIEW,20,18511,0.019
REPO_CORE_EXAMPLES,16,1120999,1.121
RELEASE_ARTIFACT_LARGE_PACKS,4,4733123579,4733.124
